Home > Text Tools >Compleat Lister Input > Output
--------------------------------------------------------------------------------

C:\Documents and Settings\Sapi\Desktop\veneto_wiki.TXT
42383 bytes
manua£e _1
manua£i _1
manual _1
mar _4
maranexe _1
marca _2
marcanti _1
marcato _1
marco _5
marcos _1
marema _1
maria _1
marin _1
marinai _1
marinari _1
mario _1
màrketing _1
marso _1
marzso _2
maschi£e _1
mascotte _1
matemàtega _1
matematica _1
matemàtica _1
me£iorar _1
medexina _1
media _1
medioevo _1
mediteraneo _2
mejo _2
memia _1
memo _2
men _1
meno _2
mentre _4
mercanti£e _1
mercanzia _1
merica _1
meridiona£e _1
meridional _1
mesa _1
mesico _2
mèsico _3
meta _1
metà _3
metafonexi _17
metafonìa _1
métar _1
mètar _1
métare _2
métarse _1
mete _1
metendo _1
meteva _1
meti _1
mexo _2
mezo _6
mezxo _1
mi£ion _2
mia _2
mìa _4
midia _1
miga _1
migratorie _1
migrazsion _1
minore _1
minoritaria _1
minoritarie _1
mirabi£i _1
misionari _4
misionario _1
misurà _1
mito£ogìa _1
mixura _2
moderni _1
moderno _2
modi _1
modifica _1
modificazsion _1
modo _3
molti£engoe _1
mona _1
mondia£i _1
mondo _7
móndo _1
mónti _2
monumental _1
moravi _1
morfema _1
morfo£ogia _3
morta _1
mostra _1
mostrare _1
mq _1
mucio _4
multi£engoe _1
multimedia£i _1
munti _1
muran _1
muta _3
mute _1
mùxega _2
n _4
n' _2
na _57
'na _3
nà _1
n'altro _1
nanotecno£ogìa _1
n'antra _1
napo£etan _1
nase _1
nata _1
nate _1
nato _2
natura _1
natura£i _1
natural _1
nava _1
nave _2
nazsion _2
ncora _1
ndà _1
ndo _2
'ndove _1
ne _7
ne£a _2
necesari _1
necesaria _1
negozsio _1
nei _2
nel _12
nel'ànbito _1
n'ensiclopedia _1
n'era _1
nereo _1
nesuna _1
netsilik _2
nisun _1
nisuna _1
no _25
no'l _4
nome _8
nomenclatura _1
nomi _6
nominà _3
non _2
nonostante _1
nord _8
norma£ial _1
normal _2
normalmente _2
northern _1
nostro _1
notaio _1
note _2
notizsie _2
nova _1
nóva _1
nove _1
nóve _1
novesento _1
'nte _5
'ntei _3
'ntel _13
nùmari _1
numaro _2
nùmaro _1
nunatsiavut _1
nunavik _2
nunavut _4
nutaaq _1
o _45
ó _2
ò _3
o£andexe _1
obligatori _1
oçidenta£e _1
oçidenta£i _1
oçidental _2
ocio _1
ofiçia£e _2
ofixia£i _1
ogni _3
ol _1
olta _1
olte _1
oltre _4
omero _1
omo _2
omonimi _1
omonimia _1
on _5
ondata _1
onde _1
onefegà _1
online _1
opera _1
opere _2
opure _6
orbane _1
ordinaria _1
organizà _1
orianta£e _1
orienta£e _2
orienta£i _1
oriental _3
orientale _1
origina£e _1
origine _3
origini _1
orixinariamente _1
orìxine _1
ornamento _1
orobia _1
orto _1
oservatori _1
osidental _1
otanta _1
otosento _1
ovest _3
ozsidental _2
p _1
pa' _1
pa£ata£e _1
pa£azso _1
pa£ú _1
pa£ù _1
padoa _2
pàdoa _1
padoan _5
padoana _2
padova _1
padovan _4
padovana _1
paese _1
paéxe _1
paexi _1
pagar _1
pagine _1
pajar _1
palazso _1
palù _1
par _75
paraná _1
parché _4
pare _1
parla _12
parlà _16
parlada _3
parlade _10
parlanti _4
parlarà _1
parlarè _1
parlava _1
parlavi _1
parlemo _1
parli _2
parò _4
paro£a _11
paro£e _19
parola _1
parole _1
parte _12
partensa _1
partexe£e _1
parti _2
partico£ar _1
partico£are _2
partico£ari _2
partico£armente _2
partiti _1
partorir _1
pasar _1
passìa _1
patrizsio _1
paxena _1
pàxena _3
pàxene _1
pe£e _1
pedemontani _1
peggio _1
pelagroso _1
pena _1
pensà _1
pensar _1
pensito _1
per _2
perde _2
perico£o _1
periodo _3
perlopiù _1
permanenzsa _1
permete _1
perpuosito _1
pers _2
perso _3
persona _2
personaji _1
persone _2
persóne _1
pèsta _1
pezo _1
pi _11
pí _2
pì _4
piaggio _1
piandéa _1
piane _2
pianzéa _1
piasè _4
piave _4
piazsa _4
picenine _1
picinina _1
picinine _1
piemontexe _1
piesè _6
pigiarniq _1
pipiasè _1
piranesi _1
pitosto _1
pitura _1
più _8
pixa _1
plura£e _2
plura£i _1
plural _1
po£aco _1
po£exan _5
po£isintetiche _1
po£itici _1
poco _1
podarà _1
podaria _1
poder _2
poe _1
poema _1
poeta _1
poetava _1
poeti _1
pol _16
pola _1
polaco _1
polacos _1
politega _1
polo _1
ponti _1
pontin _2
pontino _1
popo£ar _1
popo£azsion _1
popo£azsioni _1
popo£o _1
pòpo£o _1
popolazsion _1
porca _1
pordenon _1
porta£e _3
porta£i _2
portando _1
porti _1
portoghese _1
portoghesi _1
portoghexe _2
portoghéxe _3
posibi£ita _1
posibi£ità _3
poster _1
posti _1
posto _9
poxizsion _2
prà _2
prè _1
precedenzsa _1
precixa _5
precixo _1
predisposto _1
predispoxizsioni _1
preposision _1
presion _1
prevalentemente _1
previste _2
prexenpio _1
prexenta _2
prexente _5
prexenti _1
prezenta _1
prima _9
primi _2
primo _4
prinçipa£i _1
prinçìpi _1
prinzsipa£e _2
prinzsipa£i _1
probabilmente _1
proceso _1
prodóta _1
prodoto _1
produxe _1
produzsion _2
progeto _2
progresivamente _1
progresivo _1
projeti _3
projeto _1
promóvar _1
promozsion _1
pron _1
pronome _1
pronuncia _1
pronunsia _1
pronunsiare _1
pronunzsià _3
propio _1
proponendo _1
protestà _1
protezsion _2
proto _1
proveditor _1
provenzsal _1
provincia _1
provocà _2
pseudonimo _1
psingo£ar _1
pu£ìtega _1
publico _1
publisità _1
puchi _2
pugno _1
puìna _1
puìto _1
pure _1
purpiamente _1
putei _1
qaliujaaqpait _1
qaniujaaqpait _3
qua _7
qua£e _1
qûalche _1
qûalcosa _1
quando _9
quanti _1
quanto _6
quasi _1
quaxi _1
qûe£'altri _1
que£e _1
que£o _3
quebec _3
quel _1
qûel _1
questo _3
quindexe _1
quindi _1
r _3
racolta _1
racomandazsion _1
radica£i _1
radice _1
raduni _2
rafigurà _1
raixa _1
rame _1
ramo _1
raprexenta _2
raprexentar _2
raprexentazsion _1
raramente _1
raro _1
rasegnazsion _1
raxon _2
re£igion _1
re£ijon _1
rea£i _1
realtà _2
reazsion _1
reclan _2
regime _1
region _4
regiona£e _3
regiona£i _1
regional _2
regioni _1
registrarse _1
registri _1
rego£are _1
rego£e _1
regolà _1
regolazsion _1
regreso _1
reindirizzamento _1
rejon _2
rejón _1
rejona£e _1
rejonale _1
rento _3
reprimendo _1
republica _6
repùblica _2
resentemente _1
resenti _1
resta _3
restà _1
restando _1
resto _1
retroflese _1
rexi _1
rexultà _1
rica _1
riciamando _1
riconósar _1
riconóse _1
riconosendo _1
riconosimento _2
riconosùa _2
riconosùe _1
riconosuo _1
ricorda _1
ricordar _1
riduxe _1
riferimenti _1
riferimento _1
riferirse _1
rifletendo _1
riformà _1
rinasimento _1
rio _6
risa£e _1
risorse _3
rispeto _1
risultà _1
ritmo _1
riusendo _1
riva _1
rivà _3
rivando _1
rivar _3
rivolto _1
roma _1
romancio _1
romane _1
romanesco _1
romania _3
romanze _1
romeno _1
ronchitti _2
rosaria _1
róso _1
rovigo _1
rovigoto _1
rura£i _1
rusteghe _1
rùstego _1
rustichello _1
ruzante _1
s _19
s+c _2
s·céto _1
sà _1
s'à _3
sa£udar _1
sa£udo _5
sacco _1
sachi _1
saco _1
saludo _1
sandbox _1
santa _4
são _1
saor _1
sarae _1
sardegna _3
sardo _1
sarìa _2
sàtu _1
savata _1
savéito _1
savèrghene _1
sbasar _1
sc _3
scapar _1
scarpèr _1
schema _2
schermi _1
sco£a _1
scó£a _1
sco£astici _1
sco£e _1
scominsia _1
scominzsià _3
scominzsio _1
scomizsiava _1
scondi _2
scrita _4
scrite _3
scrito _9
scritura _13
scriva _1
scrivar _4
scrívar _3
scrìvar _4
scrivarà _1
scrìvare _3
scrivarìa _1
scrive _3
scrivéa _1
scrivine _1
scursà _1
sdrucio£e _2
sdrùcio£e _2
se _83
seben _3
seco£o _5
secoli _1
secolo _1
seconda _5
secónda _3
secondo _4
sede _1
sedexe _1
segnal _1
segnare _1
segni _2
ségni _1
segno _11
ségno _1
segue _1
seguenti _2
seguìa _2
seguito _2
sèliere _1
semimuta _1
senadori _1
senpre _11
sensa _1
senso _2
sente _2
sénte _1
senti _1
sentìa _1
sentimo _1
sentirà _1
sentisi _1
sentra£e _1
sentrae _1
sentral _1
sentrale _1
sentro _1
senzsa _6
seradi _1
serenìsima _1
sergio _1
serta _1
serte _1
servea _1
servo _1
sesanta _2
setanta _2
setentriona£e _1
setentriona£i _2
setentrional _16
sèto _1
sètu _1
sevito _2
sfrutà _1
sguèlto _1
si£aba _2
si£abario _7
si£abe _1
si£abica _2
sia _11
sía _1
siberiani _1
sibi£ante _1
sicilian _1
siciliane _1
sico£ogìa _1
sie£iendo _1
sieliar _2
sielto _1
sientìfega _1
sientifici _1
sientifico _1
sienzse _5
significà _1
significadi _1
significative _1
silvano _1
sinbo£i _3
sínbo£i _1
sinbo£o _1
singo£ar _2
sinistra _3
sinque _1
sintasi _1
sistema _11
sità _1
siti _1
sito _2
sìto _1
sìtu _2
slavey _1
slovaco _1
slovene _1
slovenia _2
so _5
só _6
so£a _2
so£ar _1
sò£ito _1
so£o _16
socia£e _1
socia£i _1
social _1
socio£ogìa _1
sogeto _1
sojeto _1
sol _2
soliévo _1
solito _1
solo _1
somario _1
someja _2
somejante _1
son _2
sondagi _1
soni _1
sonora _12
sonore _1
sonoro _1
sopravivesto _1
sora _4
sóra _1
soratuto _5
sorda _9
sórda _1
sórde _1
sordo _1
sore£e _2
sorprexa _1
sostanzsialmente _2
sostituìo _1
sostrato _1
soto _3
sotogrupi _1
spagno£o _2
sparse _1
spartie _1
spàzsio _1
spece _1
specia£i _1
specialmente _1
spetava _1
spìrito _1
spor _1
sposa _1
squaxi _1
ss _1
sta _9
'sta _1
stà _19
stacae _1
standard _3
stanpa _1
stanpà _2
st'area _1
stati _4
statìstega _1
statisteghi _1
stato _5
statos _1
statua _1
statue _1
stawinski _1
ste _5
'ste _1
stè _2
stella _1
stellin _1
stesa _1
stésa _1
steso _2
sti _2
stime _1
sto _6
storia _5
storica _3
stòrica _1
storici _1
streto _1
struca _1
strutura _2
studi _2
studio _1
studioxi _1
su _16
su£a _1
subdia£eti _1
substrà _1
sucede _1
sucèso _1
sufisi _2
sufiso _1
sugerise _1
sul _9
suman _1
suni _1
suoni _2
suono _8
svedexe _1
svi£upo _1
svizsera _1
ta£i _1
ta£ia _1
ta£ian _27
ta£iane _2
tacà _2
tacar _1
tajà _5
talian _4
taljan _1
tante _5
tanti _1
tantisime _1
tanto _2
tarantin _1
tastiera _1
tchao _1
te _29
te£a _2
te£evixion _1
teatrali _1
tegnese _1
tegno£ogia _1
tegno£ogìa _1
tegnù _1
tei _6
tel _9
te'l _2
temateghi _1
tematici _1
temàtici _1
tempesta _1
tende _3
tendenzse _1
tenpi _1
tenpo _3
tentativo _1
teo£ogìa _2
teorie _1
tera _2
teraferma _1
teritori _3
teritorial _1
termine _4
termini _1
terzsa _4
testa _1
testi _3
testo _2
th _2
thin _1
ti _7
tiatro _1
ticinese _1
tipiche _2
tipo _1
tipo£ogia _1
tira _3
tiro _1
titirausiq _1
tito£o _1
tli _1
tó _2
tocà _2
todesco _4
tol _1
tola _1
tonica _2
tònica _1
tor _1
torismo _1
tórna _1
torno _1
toscan _2
toscana _3
tota£ità _1
totalmente _1
tra _15
tracia _1
tradóta _1
tradóto _1
tranxitivi _1
trascrizsion _1
trasformazsion _1
trasliterazsion _1
trasporti _1
tre _2
trentaoto _1
trentin _6
trento _2
trevigiana _1
treviso _2
trevixan _9
trevixana _2
trevixo _1
tri _3
trieste _2
triestin _5
tronche _5
truetype _1
tschao _1
tulcea _4
tuo _1
turco _1
tuta _2
tute _6
tutela _2
tuti _9
tuto _2
tutò _1
typeworks _1
u _6
ù _2
û _1
uficia£e _2
ufiçia£i _1
ufiçia£ità _1
uficialmente _1
ugo _1
ulteriori _1
ùltime _1
ultimi _2
ùltimi _1
ultimisimi _1
umani _1
un _40
una _6
uncò _1
unesco _1
ungherese _1
uni _1
ùnica _1
unicode _2
unìo _1
unitaria _2
unitària _1
universa£e _2
uno _3
urbane _1
utente _1
uti£i _1
utorità _1
uvu£are _1
uxa _2
uxà _2
uxando _1
uxo _2
va _13
va£e _1
va£i _1
va£orixazsion _1
vaca _1
vae _1
val _3
valorizzazione _2
vancouver _1
varda _5
vardar _1
vardare _1
vari _2
varia _1
variabi£ _1
variante _7
varianti _9
varianzse _4
varie _3
varietà _1
vè _1
ve£are _1
vecia _3
vecie _2
vecio _1
veciòt _1
vecioti _1
védarla _1
vedi _1
védi _1
vègnar _1
vegnea _1
vegnéa _1
vegner _1
vegnù _3
vegnùe _1
vegnui _1
velare _1
ven _1
véndar _1
venesian _6
venesiani _1
veneta _15
vèneta _36
venete _5
vènete _2
veneti _2
vèneti _6
venetico _2
venètico _1
veneto _37
véneto _1
vèneto _62
vêneto _2
venezsia _7
venezsian _3
venezsiana _1
venezsie _1
verba£e _1
verbi _11
verbo _2
verde _1
