Home > Text Tools >Compleat Lister Input > Output
--------------------------------------------------------------------------------

C:\Documents and Settings\Sapi\Desktop\testi_serafini.TXT
932748 bytes
aparìr _1
aparke _1
aparlarà _1
apartamentìn _1
apartaminti _2
aparte _2
apartegno _1
apasionà _3
apelè _1
apendìse _1
apensiòn _1
aperentemente _1
apetibi£e _3
apetìbi£e _1
apetibi£i _1
aplica _2
aplicà _3
aplicàr _1
aplicarìa _1
aplicasiòn _6
apo£ojìa _4
apocrifi _1
apodemo _1
apogrifi _1
apojarà _1
apopo£asiòn _1
aposto£ega _1
aposto£i _1
apòxita _1
apr _1
aprendimento _3
apresa _2
apresaminti _1
apresi _1
apri£e _4
aprì£e _2
apriammo _1
aprìl _1
aprima _1
aprke _2
apro _2
apro£a _1
apro£e _1
aprofita _3
aprofitarghine _1
aprofitava _1
aprofonditamente _7
apropia _1
apropriarse _1
aprosimativamente _1
aprovà _3
apròva _1
aprovando _2
aprovàr _3
aprovasiòn _1
aprovijonarse _1
aprovijorarse _1
aprte _3
apunisiòn _1
apuntaminti _1
apunto _3
aquario _1
àrabe _1
arabi _17
àrabi _4
arabii _1
arabiisrae£e _1
àrabite _1
arabo _7
àrabo _4
arad _1
arafat _6
arcivià _1
àrdar _1
are _6
area _2
àrea _2
aredamento _1
aree _4
àree _4
arena _1
arepublica _1
arestà _1
arestàr _1
aretrà _1
argentìn _1
argentina _9
argentìna _1
argentinake _1
arginàr _1
argomentàr _2
argomentasiòn _3
argomenti _1
argomento _9
argominti _9
aria _4
ària _3
arikie _1
aristote£e _3
ariveder _1
arkeo£ogo _1
arkeo£oji _3
arkeo£ojìa _2
arkimede _10
arkìmede _4
arkiteti _2
arkivi _1
arkiviàr _1
arkiviasiòn _1
arkìvo _1
arlekineske _1
arma _9
armà _8
àrma _3
armati _1
arme _16
àrme _10
armen _2
armèn _6
armena _7
armèna _1
armene _3
armeni _16
armèni _4
armenia _12
armeniai _1
armeniebrei _1
armeno _1
armèno _1
armi _11
armistisi _1
armonia _2
armonìa _3
arna _1
arogansa _9
arogansali _2
arogantemente _2
aroganti _10
arriaga _1
arriva _1
arrivedergi _1
arsena£i _1
arsenàl _1
arsenio _2
arsiero _1
arsignàn _1
art _1
arte _1
àrte _1
arteria _1
artexàni _1
arti _1
artico£eto _2
artico£i _13
artico£o _4
artìco£o _1
artifisia£i _2
artifisial _2
artifisiàl _4
artifisialmente _2
artifisieri _1
artijanàl _1
artijàne _1
artijàni _2
artisti _9
aruò£a _1
aruolàr _1
as _2
asa _15
asà _12
àsa _11
àsaghe _2
asando _5
asandoghe _2
asar _5
asàr _6
àsar _1
asarèmo _1
asarghe _5
asarli _1
asarme _1
asàrne _1
asarse _1
asasina _1
asasinà _3
asasine _1
asasini _5
asasìni _4
asasino _2
asasìno _1
asava _1
asàvi _1
asàvo _1
asburgo _1
ase _2
ase' _3
asé _11
asè _51
àse _1
ase£erà _2
ase£eràr _1
asegni _15
asègni _2
asegno _1
asegurà _1
aseguro _2
asegùro _1
asemo _7
asémo _3
asèmo _3
asemose£i _1
asenà _1
asenblea _1
asèno _1
asensio _1
asenteista _1
asento _4
asero _2
àseroacer _1
asertà _1
asertamenti _1
asesori _1
aseta _6
asetà _10
asetàbi£e _1
asetar _1
asetàr _10
asetarà _1
asetarìa _1
asetavimo _1
asetè _1
asetemo _3
asèti _1
aseto _1
asfaltar _1
àsi _2
asi£o _1
asicurasiòn _3
asicurative _1
asicurativi _1
asicuratòr _1
asicuratori _1
asicùri _1
asicuro _19
asicùro _13
asidentàl _1
asieme _1
asìgni _1
asilà _1
asimetrega _2
asimetria _1
asimi£à _2
asìmi£a _1
asìmi£e _1
asimilà _3
asimilàr _1
asiòn _15
asionari _2
asionàri _1
asionario _1
asiònipoteke _1
asionisti _3
asiste _2
asistensa _3
asistensia£ismo _4
asistensiàl _1
asistio _5
aso _5
àso _5
aso£uta _1
aso£utamente _10
aso£uto _7
asociasiòn _8
asolùto _2
asòlvar _2
asolve _2
asolvesti _1
asopravive _1
asorbe _2
asorbìa _2
asosiasiòn _1
aspetative _1
aspetatìve _1
aspeto _1
aspiranti _2
aspirasiòn _6
assaggia _1
assistono _1
associamo _1
assurdita _1
asta _2
àste _1
astinensa _1
astoe _1
astronavepar _1
astronavi _1
astusia _1
asuefasion _2
asuefati _1
asùmar _2
asumevo _1
asunsiòn _1
asuparàr _1
asurda _1
asurdamnete _1
asurde _3
asurdi _1
asùrdi _1
asurdità _1
asurdo _13
at _1
ataca _2
atacà _1
atàca _1
atacàbi£e _1
atacàbi£i _1
atacar _2
atacàr _1
atàco _2
atàki _2
ate _1
ategnarìa _1
atei _4
àtei _1
atejamento _1
atejaminti _1
atenpi _1
atensiò _2
atension _1
atensiòn _4
atentà _5
atentati _1
atentàti _1
atento _1
àteo _2
ati _3
àti _2
atignir _1
atimec _1
atirà _1
atitùdine _2
ativa _1
atìva _3
ativamente _1
atìvi _2
ativita' _2
atività _15
ativo _1
atìvo _1
atleta _1
atletega _1
atleti _8
atlèti _9
atmosfera _2
atmosfereghe _1
ato _8
àto _12
atomega _1
atòr _2
atòri _1
atorno _17
atraverso _9
atraves _1
atrèsi _1
atrexà _1
atribuìo _1
atribuise _1
atribùti _2
attaccano _1
attackiamo _1
attenda _1
atteso _1
atti£io _1
atuà _1
atuàl _2
atuàr _1
atutìr _1
atv _1
audi _1
audio _6
audiotv _1
audiovixive _2
auguri _1
augùri _1
àuguro _1
aumenta _8
aumenta' _4
aumentà _10
aumentando _2
aumentàr _3
aumentarla _1
aumentarle _1
aumentarte _1
aumentemo _2
aumento _1
àuree _3
auskwits _1
auskwitz _3
austra£ia _2
austra£opitecus _2
austria _13
austriaca _2
austriaco _2
austrìaco _1
austriasi _5
austro _1
austrongàrico _1
autesensurarà _1
auto _1
auto£ejitimarse _1
auto£ejitimemo _1
auto£exionista _1
auto£exìvi _1
autoboti _1
autobus _2
autocritega _1
autoctone _1
autodescrivarse _1
autodiscriminadori _1
autodispresa _1
autodixistima _1
autogoernarse _1
autogoerno _6
autogovernarse _1
autogovernarve _1
autojestion _1
autojustificativa _1
automadega _1
automadeghe _1
automadeghi _1
automadego _3
automasiòn _1
automategamente _3
automateghe _2
automaticamente _1
automatigamente _1
automatixà _3
automobi£e _2
automobi£i _2
automomisti _1
autonoma _4
autonòmega _1
autonomego _1
autonomi _4
autonomia _3
autonomìa _3
autonomie _2
autonomìe _5
autonòmìe _1
autonomismo _1
autonomiste _2
autonomisti _1
autonomo _4
autoproclamà _1
autoproclamarse _1
autorita' _2
autorità _4
autoritàri _2
autoritario _1
autorixà _1
autorixasiòn _1
autosensura _8
autosensùra _4
autosensurandose _1
autosensurarà _1
autosensurarte _1
autosensuremo _1
autostima _5
autostìma _2
autostrade _8
autosufisente _1
autotasemo _1
auxi£iari _1
ava£àr _1
ava£endome _1
avangoardie _1
avanposti _1
avanposto _1
avansà _2
avanso _1
avàro _1
ave _1
avedarìa _1
avedo _1
avegnù _2
avenida _2
aventurarte _1
aventure _3
aver _2
avèr _1
avere _1
avèri _2
averità _1
averlo _1
aversario _1
avesse _1
avevano _2
aviano _1
aviàr _1
aviasion _2
aviasiòn _1
àvide _2
avidi _2
àvidi _1
avìxi _1
avoca' _2
avocà _3
avocati _11
avocàti _1
avocato _1
avrebbe _1
avventure _1
avversari _1
axi£i _5
axì£i _1
axiago _1
axiatego _1
axienda _15
axiendàl _1
axiende _89
axùre _1
axuri _1
azuri _1
b _6
bà£a _4
ba£anso _1
ba£e _5
bà£e _6
ba£ia _1
ba£ìn _3
ba£ini _1
ba£on _5
ba£òn _13
ba£ordi _1
ba£ota _3
ba£ote _22
ba£òte _6
ba£uardo _2
babi£onexe _5
babi£onixi _1
babilonìxi _1
babuini _1
baby _2
bàda _1
badante _10
badanti _5
badè _1
baggio _1
bagno _4
bàgo£o _1
bàj _1
bajo _1
bak _2
baketòn _1
balboni _2
balbùsie _4
balcani _1
balcàni _1
balène _1
banca _92
bànca _1
bancare£a _1
bancare£e _4
bancari _9
bancaria _3
bancarie _1
bancàrie _1
bancario _11
bancàrio _1
bancarota _9
bancaròta _5
banco _9
bànco _3
bancomat _1
banconota _1
banda _10
bànda _3
bandana _1
bande _6
bànde _1
bandìa _1
bandiera _114
bandiere _44
bandière _1
bandiereta _4
bandierete _2
bandierina _1
banditi _6
bandito _1
bandona _1
bandona' _3
bandonà _7
bandonando _2
bandonàr _7
bandonaro _2
bangladesh _2
bangladeshani _1
bangladexe _1
bangladexi _1
bangladixi _2
bangladìxi _1
bania£uca _1
banke _121
bànke _4
banketi _1
banki _1
bankiere _1
bar _5
bàr _5
baraca _4
barake _1
barato _3
bàratro _2
barba _2
barbarani _1
barbari _1
barca _9
barcaro£e _1
barce£ona _4
bari _2
bàri _3
barì£e _1
barì£i _1
baricà _2
baricade _1
baricarse _1
baricàte _3
bariera _1
bariere _1
barière _1
barisòn _1
barke _1
barufà _1
barufe _2
barxe£eta _2
barxe£etieri _1
barxeeete _1
barze£eta _4
basa _2
bàsa _3
basàn _3
basca _2
basco _1
base _6
bàse _2
basi _3
bàsi _2
baski _19
baso _10
bàso _11
basta _110
bàsta _5
bastansa _22
bastàr _1
bastarà _1
bastarda _2
bastarde _1
bastardi _6
bastarìa _3
bastase _2
bastava _6
bastàva _1
basti _1
bastiàn _1
bastiema _1
bastonà _2
bastonae _1
bastonemo _1
bastono _2
bastuni _2
bàta _1
bataja _19
batajà _1
batàja _3
batajàr _1
bataje _9
batàje _1
batajòn _1
batar _2
bàtar _8
bàtarla _1
batarlo _1
bàtarlo _2
batasuna _1
bate _2
bàte _3
batémo _1
batèri _1
baterio£ojike _1
batexà _1
batiscopa _2
batù _5
batùa _2
bauki _4
baumentàr _1
baxa _1
baxà _5
bàxa _1
baxe _11
bàxe _35
baxi _10
bàxi _8
bda _1
be _3
be£a _25
bè£a _2
be£e _13
bè£e _2
be£esa _7
be£i _6
bè£i _1
be£icosi _1
be£o _9
bè£o _2
be£ùn _1
be£usconi _2
beatificasiòn _1
beatles _2
beato _3
bèbi _1
becà _2
bèdi _1
beduini _5
before _1
beggiato _1
begiato _8
beh _5
behaviour _1
behind _1
bei _4
bejato _1
bekìn _1
bel _8
bèl _1
belgio _2
belgràd _1
belgrado _6
beljo _1
bella _3
bellaterra _1
ben _97
bèn _17
bene _2
bène _1
benedetini _2
benedetìni _1
benedise _1
benedìse _1
benedisiòn _4
benedizione _1
benefattori _2
beneficiensa _2
benèsar _1
beni _6
béni _1
bèni _1
benino _1
benìto _1
benòn _1
benvignù _6
benxina _18
benxìna _1
benzina _1
beo _2
beota _1
bepe _2
bepi _1
bepìn _13
berberi _1
bèrisi _1
berlin _2
berlina _1
berloni _1
berlusca _1
berlusco _1
berlusconi _11
berto _5
berto£i _1
berto£ie _1
bertrand _2
besteme _1
bestemmie _1
bestia _1
bestia£ità _1
bestie _2
bèstie _3
bethoveen _2
betìn _2
bettìn _1
bevar _2
bévar _2
bèvar _4
bexogno _47
bexògno _4
bi _8
bibi£ansa _1
bi£ansàr _1
bi£ansi _1
bi£anso _1
bi£engoe _1
bi£engoi _1
bi£engoismo _3
bianca _2
biancaneve _2
bianco _7
biancorosoverde _1
bianke _3
bianki _3
bibia _4
bìbia _4
bibie _1
bìblica _1
biblico _1
bibliioteca _1
biblioteca _7
biblioteke _1
bide£i _1
bide£o _1
bigo£i _1
bìgo£i _2
bigòta _1
bigoti _3
bijetaro _1
bijetàro _1
bijèti _1
bijeto _6
bill _2
binari _7
binàri _7
binarilora _1
binario _4
binàrio _1
binomio _2
binvignù _2
bio _1
bio£oji _2
bio£ojìa _4
bio£ojico _4
bio£ojike _1
bio£ojisi _2
bioe£etronegade _2
biografìa _2
biografìe _2
biojenetega _1
biokimega _1
biondo _3
biotek _2
birkenau _2
bis _2
bisàti _1
bit _1
bituà _1
bìvi _1
bixàvo£a _1
bixi _2
bixogna _1
bixognava _1
bixogni _2
bixogno _12
bixògno _1
blaccout _1
blair _2
blairconseto _1
blaxonà _2
ble _1
blè _2
blindà _2
bloca _1
blocà _6
blòca _1
blocàr _6
blocco _1
bloco _15
blòco _2
bluekip _1
bmètar _1
bmw _1
bno _3
bò _2
bo£a _4
bò£a _1
bo£e _3
bò£e _1
bo£eta _1
bo£ete _4
bo£etin _2
bo£i _3
bo£o _8
bo£ogna _5
boa _1
boaroti _1
boaroto _1
boas _2
boase _1
boat _1
boca _13
bòca _10
boce _1
bòce _3
boceta _1
bocia _3
bocià _1
bòcia _1
bociava _1
bocie _3
bòcie _6
bocieta _1
bocòn _6
boicotàr _4
boja _1
bojàde _1
bòke _1
bolìn _1
bòljìa _1
bolzan _1
bombe _1
bon _49
bón _3
bòn _20
bona _74
bòna _15
bonafede _6
bonba _5
bonbarda _2
bonbarda' _1
bonbardà _2
bonbardamenti _3
bonbardaminti _2
bonbe _23
bonbo£eta _1
bond _2
bondì _1
bone _13
bòne _4
boni _74
bóni _1
bòni _26
bonifeghi _4
bonifego _2
bonifica _1
bonifico _2
bonifisi _1
bonismo _1
bonista _1
bonora _10
bonòra _2
bonxi _1
borde£i _1
borders _1
borghese _2
borghexe _2
borghexi _2
borghexia _3
borghexìa _6
borgo _1
borgoricco _1
borgorico _2
borsa _14
borse _1
bòrse _2
borseto _1
borsista _1
borto£i _1
boscaje _2
boscajè _1
bosco _1
bosi _2
boski _2
boskive _1
bosnia _61
bosniac _1
bosniaca _1
bosniaco _8
bosniae _1
bosniake _3
bosniasi _7
bosniasi=musulmani _1
bosniasimusulmani _1
bossi _1
boston _3
bot _22
bòta _1
bote _2
botega _5
botegari _1
boteghe _8
boteje _1
botiglia _1
boto _1
bòto _4
boton _1
bòxer _1
boxiaro _1
boxie _3
boy _1
bozen _1
bpar _1
bparké _1
bpartesipàr _1
bprodur _1
br _7
bragadìn _1
bràghe _2
brài _6
brainwashing _1
branco _1
brao _1
brào _1
brasi _5
brasi£e _1
brasi£iane _1
brastvo _3
brava _12
bràva _7
bràve _1
bravi _22
bràvi _13
bravo _5
bràvo _7
bravura _1
braxi£e _3
braxi£iàn _1
braxil _1
braxìl _1
brènaro _1
brenta _3
brentana _1
breprimar _1
brepublica _1
brèsci _1
brescia _1
bresia _1
bretàgna _1
breve _5
brève _1
brevetà _1
brevetàr _2
breveti _5
brezniev _1
briga _1
briganti _1
brisco£a _3
briz _1
bròa _2
brònbi _1
browser _1
brucart _1
brune£i _1
bruno _1
brusèl _1
bruta _4
brùta _2
brute _1
bruti _1
bruto _4
brùto _2
bruxa' _2
bruxà _4
brùxa _6
brùxà _1
bruxàa _1
bruxàr _10
bruxava _1
bruxàva _2
bruxè£i _1
bruxelles _3
brùxo _1
bsa _1
bsenpre _1
bsopravive _1
bsta _1
bu£egamento _1
bubaràta _2
buca£ossi _1
bucarest _1
budapest _3
budda _1
bùfa£a _2
buffona _1
bufòni _1
building _1
buildings _1
bukenwald _1
buldog _1
bulgarìa _1
bulldog _4
bunigo£o _1
bunker _2
buoni _1
buono _1
buratinata _2
buratini _20
buratìni _2
burìni _2
burlesque _1
burletta _1
burocrasia _10
burocrasìa _7
burocrata _2
burocrateghe _1
burocrati _5
buròcrati _4
buròn _2
bush _2
business _1
busta _3
bustare£e _1
bustare£eli _1
bustine _1
but _2
butatini _1
butiga _2
butìn _1
buttrio _1
buxa _1
buxi _1
bùxi _5
buxìa _4
buxiara _2
buxiari _10
buxiàri _2
buxie _1
buxìe _16
bùxìe _1
bùxo _5
bypasàr _1
c _4
ca _2362
ca' _1
cà _1
ca<à _1
ca£a _1
ca£à _2
ca£abrese _1
ca£abresi _1
ca£abrexe _3
ca£abréxe _1
ca£abrexi _3
ca£abréxi _1
ca£abria _7
ca£abrixi _2
ca£abrìxi _6
ca£àr _3
ca£ashnicov _2
ca£e _1
cà£e _4
ca£exè£o _1
ca£i _1
ca£ibrà _1
ca£ibratrisi _1
ca£ibratùra _1
ca£ibro _4
cà£ibro _2
ca£ifornia _1
ca£oggero _1
ca£ugna _1
ca£unia _2
ca£unie _3
ca£ùnie _1
caa _1
càbir _1
caboto _5
cabotofà _1
cacaro _1
cacàro _2
caccia _1
cacciari _1
cadòr _2
cadore _1
caduta _1
cae _1
caena _4
caéna _1
caéne _2
cafca _3
cafè _1
caffè _1
cagà _1
cagàr _1
cagarìa _1
càgna _1
caìsto _1
caixene _1
caki _1
cakii _1
calcio _1
càlcio _3
calco _3
càlco _1
calco£adrise _1
calco£i _1
calco£o _3
calcosa _39
calcos'altro _1
calda _1
calde _1
caldi _1
caldo _8
càldo _1
calk'altro _1
calke _1
calkedon _9
calkedòn _19
calkedùn _3
calki _8
calmada _3
calmi _1
calpestà _1
calsestruso _1
caltanisettaoristanonapo£i _1
calvinisti _1
càmara _2
camare _2
càmare _5
camerunensi _1
camieto _1
caminà _1
caminàda _1
caminade _1
caminando _1
caminar _3
caminàr _1
caminava _1
camion _11
càmion _4
camionari _1
camiònari _1
camionaro _1
camixeta _2
camora _2
camore _1
campagna _1
campania _1
can _2
càn _7
càna _2
cana£e _1
canà£e _1
canà£i _1
canada _3
canadexe _1
canaje _2
canal _2
canbi _2
canbia _6
canbia' _1
canbià _2
canbia£i _2
canbia£ie _1
canbiamento _1
canbiaminti _1
canbiar _2
canbiàr _9
canbiarà _1
canbiarme _1
canbiarne _1
canbiàva _1
canbie£a _1
canbio _13
cànbio _1
càncari _1
cancaro _5
càncaro _1
cancro _6
càncro _1
candidà _1
canepàri _1
cani _4
càni _9
canociàl _3
canonà _2
cànone _5
canonega _5
canoni _1
cànoni _3
canonixasiòn _1
canoti _1
canova _3
canpagna _4
canpàgna _1
canpagne _7
canpàgne _1
canpane _2
canpani _3
canpani£e _1
canpania _8
canpanil _4
canpanìl _7
canpeji _1
canpejo _1
canpi _21
cànpi _4
canpionà _1
canpioni _1
canpo _4
canse£i _4
cansè£i _1
canse£o _2
canserojeni _2
cansòn _8
cansonete _2
cantà _2
cantanti _1
cantàr _3
cantastorie _1
cantava _1
cante _1
canti£ena _1
canti£ene _1
cantiere _2
cantieri _3
cantièri _2
cantòn _5
canvi _3
canvia _12
canvià _7
cànvia _5
canviamento _3
canviaminti _1
canviàr _3
canviarà _2
canviarìa _2
canvio _5
cànvio _9
cao _2
cào _4
caonte _1
càpa _1
capace _2
capanon _11
capanòn _18
capanon+makinari _1
capanoni _10
capanòni _3
capanuni _4
capanùni _1
capase _2
capasità _11
cape£a _3
cape£ani _2
cape£àr _1
cape£e _1
cape£i _1
cape£o _1
capesto _2
capi _1
capì _26
càpi _2
capi£ar _2
capi£armente _1
capia _2
capìa _1
capifameja _1
capii _1
capiio _1
capilàr _2
capimo _1
capìmo _1
capio _40
capìo _30
càpio _2
capir _18
capìr _40
càpir _1
capirà _4
capire _2
capirè _4
capirla _1
capirle _3
capirli _2
capirlo _8
capìrma _1
capirne _1
capirse _3
capìsa _2
capise _19
capìse _2
capisgo _1
capisi _7
capìsi _4
capisito _8
capiso _21
capìso _10
capita _2
capità _15
càpita _8
capita£e _1
capita£i _6
capità£i _4
capita£ismo _2
capita£ista _1
capita£istego _1
capital _1
capitàl _7
capitàn _1
capitani _1
capito£o _1
capiva _1
capivo _1
caplin _1
capo' _6
capo£inea _1
capo£oghi _1
capone _2
caposaldo _2
caposoni _1
caposòni _2
capusi _1
cara _9
càra _3
carabineri _1
carabinieir _1
carabinier _12
carabinièr _2
carabiniere _15
carabinieri _300
carabinieri+finansa+po£isia+ponpieri+foresta£e+cexa _1
carabinierili _1
carabinieriprefetimajistràtinotàri _1
caràtar _3
caràtare _1
caràter _2
carateristega _2
carateristighe _2
caraterixà _3
caravajo _2
carboidrà _1
carbòn _1
carbonega _1
carcere _1
card _3
